UR	SR
k.æ1.t.ʌ0.g.ɔ2.ɹ.i0	k.æ1.ɾ.ʌ0.g.ɔ2.ɹ.0
m.j.u1.t.eɪ2.t.ɪ0.d	m.j.u1.ɾ.eɪ2.ɾ.ɪ0.d
ɹ.oʊ0.m.i1.t.oʊ0	ɹ.oʊ0.m.i1.ɾ.0
p.ɛ1.t.ɪ0.ŋ.g.ʌ0.l	p.ɛ1.ɾ.ɪ0.ŋ.g.ʌ0.l
d.eɪ0.b.j.u1.t.ɪ0.ŋ	d.eɪ0.b.j.u1.ɾ.ɪ0.ŋ
ɪ2.l.ɛ2.k.t.ɹ.oʊ0.m.æ0.g.n.ɛ1.t.ɪ0.k	ɪ.l.ɛ2.k.t.ɹ.oʊ0.m.æ0.g.n.ɛ1.ɾ.ɪ0.k
n.eɪ1.t.oʊ0.z	n.eɪ1.ɾ.oʊ0.z
l.ɪ1.t.ɪ0.g.eɪ2.t.ɪ0.ŋ	l.ɪ1.ɾ.ɪ0.g.eɪ2.ɾ.ɪ0.ŋ
ɪ2.p.oʊ0.l.i1.t.oʊ0	ɪ.p.oʊ0.l.i1.ɾ.0
k.ɑ1.n.v.ʌ0.l.u2.t.ʌ0.d	k.ɑ1.n.v.ʌ0.l.u2.ɾ.ʌ0.d
ɛ2.t.æ0.b.l.ɪ2.s.ʌ0.m.ɑ1.n.t.s	ɛ.ɾ.æ0.b.l.ɪ2.s.ʌ0.m.ɑ1.n.t.s
ɹ.oʊ1.t.eɪ2.t.ɪ0.d	ɹ.oʊ1.ɾ.eɪ2.ɾ.ɪ0.d
s.p.ɑ1.t.l.aɪ2.t.ɪ0.d	s.p.ɑ1.t.l.aɪ2.ɾ.ɪ0.d
æ2.t.ɔ1.n	æ.ɾ.ɔ1.n
d.ɪ0.p.ɹ.i1.ʃ.i0.eɪ2.t.ɪ0.d	d.ɪ0.p.ɹ.i1.ʃ.i0.eɪ2.ɾ.ɪ0.d
s.k.ɹ.u1.t.ʌ0.n.aɪ2.z.ɪ0.ŋ	s.k.ɹ.u1.ɾ.ʌ0.n.aɪ2.z.ɪ0.ŋ
ɪ2.m.p.ɑ0.s.t.ɑ1.t.oʊ0	ɪ.m.p.ɑ0.s.t.ɑ1.ɾ.0
ʌ0.p.ɑ2.l.ʌ0.dʒ.ɛ1.t.ɪ0.k	ʌ.p.ɑ2.l.ʌ0.dʒ.ɛ1.ɾ.ɪ0.k
ɪ1.ɹ.ʌ0.t.eɪ2.t.ɪ0.ŋ	ɪ.ɹ.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
s.ɛ2.n.s.ɚ0.m.æ1.t.ɪ0.k	s.ɛ2.n.s.ɚ0.m.æ1.ɾ.ɪ0.k
h.aɪ2.p.ʌ0.θ.ɛ1.t.ɪ0.k.ʌ0.l	h.aɪ2.p.ʌ0.θ.ɛ1.ɾ.ɪ0.k.ʌ0.l
ɑ0.l.i1.t.ʌ0	ɑ.l.i1.ɾ.0
t.aɪ1.p.s.ɛ2.t.ɪ0.ŋ	t.aɪ1.p.s.ɛ2.ɾ.ɪ0.ŋ
s.ɑ0.l.v.ɑ1.t.oʊ0	s.ɑ0.l.v.ɑ1.ɾ.0
f.ɹ.i1.t.aʊ2.n	f.ɹ.i1.ɾ.aʊ2.n
b.ɑ0.ɹ.l.ɛ1.t.ʌ0	b.ɑ0.ɹ.l.ɛ1.ɾ.0
l.ɪ2.b.ɚ2.t.ɛ1.ɹ.i2.ʌ0.n	l.ɪ2.b.ɚ2.ɾ.ɛ1.ɹ.i2.ʌ0.n
b.ɹ.oʊ0.k.ɑ1.t.oʊ0	b.ɹ.oʊ0.k.ɑ1.ɾ.0
ɹ.oʊ1.t.ʌ0.t.ɪ2.l	ɹ.oʊ1.ɾ.ʌ0.t.ɪ2.l
g.l.ɪ1.t.ɚ0.i0	g.l.ɪ1.ɾ.ɚ0.0
k.ɑ0.s.t.ɹ.u1.t.ʌ0	k.ɑ0.s.t.ɹ.u1.ɾ.0
s.m.ɪ1.t.ʌ0.n	s.m.ɪ1.ɾ.ʌ0.n
tʃ.æ1.t.ɚ0.t.ʌ0.n	t.æ1.ɾ.ɚ0.t.ʌ0.n
s.k.i1.t.ɚ0.z	s.k.i1.ɾ.ɚ0.z
d.æ1.t.ʌ0.k.ɑ2.p.i0	d.æ1.ɾ.ʌ0.k.ɑ2.p.0
k.æ1.l.k.j.ʌ0.l.eɪ2.t.ɪ0.d	k.æ1.l.k.j.ʌ0.l.eɪ2.ɾ.ɪ0.d
d.ɔ1.t.ɚ0.i0	d.ɔ1.ɾ.ɚ0.0
p.ɹ.oʊ1.t.ɛ2.s.t.ʌ0.d	p.ɹ.oʊ1.ɾ.ɛ2.s.t.ʌ0.d
g.ɛ1.t.ʌ0.l.ɚ0	g.ɛ1.ɾ.ʌ0.l.0
g.ɑ2.d.ʌ0.f.i1.t.oʊ0	g.ɑ2.d.ʌ0.f.i1.ɾ.0
b.ɛ1.t.ʌ0.l	b.ɛ1.ɾ.ʌ0.l
ɹ.aɪ1.t.ʌ0.n.aʊ0.ɹ	ɹ.aɪ1.ɾ.ʌ0.n.aʊ0.ɹ
v.oʊ1.t.ɚ0	v.oʊ1.ɾ.0
p.eɪ2.t.ɹ.i0.ɑ1.t.ɪ0.k	p.eɪ2.t.ɹ.i0.ɑ1.ɾ.ɪ0.k
n.oʊ2.t.ʌ0.f.ʌ0.k.eɪ1.ʃ.ʌ0.n	n.oʊ2.ɾ.ʌ0.f.ʌ0.k.eɪ1.ʃ.ʌ0.n
b.oʊ1.t.ɔ2.k.s	b.oʊ1.ɾ.ɔ2.k.s
ɹ.ɪ0.b.ʌ1.t.ʌ0.l.z	ɹ.ɪ0.b.ʌ1.ɾ.ʌ0.l.z
k.oʊ1.t.ʌ0.z	k.oʊ1.ɾ.ʌ0.z
d.ɛ0.s.ʌ0.k.ɹ.eɪ1.t.ɪ0.d	d.ɛ0.s.ʌ0.k.ɹ.eɪ1.ɾ.ɪ0.d
ɹ.i0.p.j.u1.t.ʌ0.d	ɹ.i0.p.j.u1.ɾ.ʌ0.d
w.ɔ1.t.ɚ0.w.ɚ2.k	w.ɔ1.ɾ.ɚ0.w.ɚ2.k
b.j.u1.t.ʌ0.f.l.ʌ0.s.t	b.j.u1.ɾ.ʌ0.f.l.ʌ0.s.t
k.ɹ.i0.eɪ1.t.ɪ0.v	k.ɹ.i0.eɪ1.ɾ.ɪ0.v
g.ɛ1.t.ʌ0.w.eɪ2	g.ɛ1.ɾ.ʌ0.w.2
h.aɪ0.eɪ1.t.ʌ0.s	h.aɪ0.eɪ1.ɾ.ʌ0.s
b.eɪ2.t.ʌ0.s.ɛ1.ɹ.ɑ2.n	b.eɪ2.ɾ.ʌ0.s.ɛ1.ɹ.ɑ2.n
g.ʌ1.n.f.aɪ2.t.ɚ0	g.ʌ1.n.f.aɪ2.ɾ.0
s.k.ɑ0.l.z.i1.t.i0	s.k.ɑ0.l.z.i1.ɾ.0
ɑ2.m.ɑ1.t.i2	ɑ.m.ɑ1.ɾ.2
æ1.s.p.ɚ0.eɪ2.t.ɪ0.d	æ.s.p.ɚ0.eɪ2.ɾ.ɪ0.d
ʃ.i1.t.ɪ0.ŋ	ʃ.i1.ɾ.ɪ0.ŋ
ɹ.ɪ0.p.i1.t.ɪ0.d.l.i0	ɹ.ɪ0.p.i1.ɾ.ɪ0.d.l.0
p.ɚ1.s.ʌ0.k.j.u2.t.ɚ0.z	p.ɚ1.s.ʌ0.k.j.u2.ɾ.ɚ0.z
p.ʌ0.s.eɪ1.t.ʌ0.z	p.ʌ0.s.eɪ1.ɾ.ʌ0.z
h.i1.t.ɪ0.ŋ	h.i1.ɾ.ɪ0.ŋ
w.i1.t.ʌ0.n	w.i1.ɾ.ʌ0.n
ʌ0.n.t.ɹ.i1.t.ɪ0.d	ʌ.n.t.ɹ.i1.ɾ.ɪ0.d
k.æ2.t.ʌ0.t.ɑ1.n.ɪ0.k	k.æ2.ɾ.ʌ0.t.ɑ1.n.ɪ0.k
v.æ1.t.ɪ0.d	v.æ1.ɾ.ɪ0.d
ɑ1.b.v.i0.eɪ2.t.ɪ0.ŋ	ɑ.b.v.i0.eɪ2.ɾ.ɪ0.ŋ
ʃ.u1.t.ɚ0	ʃ.u1.ɾ.0
m.æ1.t.i0.s	m.æ1.ɾ.i0.s
oʊ1.t.ɪ0.ŋ	o.ɾ.ɪ0.ŋ
k.ʌ0.n.ɛ1.t.ɪ0.k.s	k.ʌ0.n.ɛ1.ɾ.ɪ0.k.s
p.ʌ0.l.ɪ1.t.ɪ0.k.oʊ2	p.ʌ0.l.ɪ1.ɾ.ɪ0.k.2
m.oʊ2.t.ʌ0.v.eɪ1.ʃ.ʌ0.n.z	m.oʊ2.ɾ.ʌ0.v.eɪ1.ʃ.ʌ0.n.z
s.ɪ1.t.ɚ0.z	s.ɪ1.ɾ.ɚ0.z
h.aɪ0.d.ɹ.ɑ1.dʒ.ʌ0.n.eɪ2.t.ɪ0.d	h.aɪ0.d.ɹ.ɑ1.dʒ.ʌ0.n.eɪ2.ɾ.ɪ0.d
ɹ.æ1.t.ɚ0.m.ʌ0.n	ɹ.æ1.ɾ.ɚ0.m.ʌ0.n
m.ɪ0.s.k.w.oʊ1.t.ɪ0.d	m.ɪ0.s.k.w.oʊ1.ɾ.ɪ0.d
ɔ1.t.oʊ0.d.aɪ2	ɔ.ɾ.oʊ0.d.2
ɪ1.n.t.ʌ0.g.ɹ.eɪ2.t.ɚ0	ɪ.n.t.ʌ0.g.ɹ.eɪ2.ɾ.0
k.æ1.t.ʌ0.g.ɚ0.aɪ2.z.ɪ0.ŋ	k.æ1.ɾ.ʌ0.g.ɚ0.aɪ2.z.ɪ0.ŋ
æ1.t.ʌ0.t.ɚ2.k.s	æ.ɾ.ʌ0.t.ɚ2.k.s
p.ʌ1.t.ɚ0.ɪ0.ŋ	p.ʌ1.ɾ.ɚ0.ɪ0.ŋ
p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.eɪ2.t.ɪ0.ŋ	p.ɑ0.ɹ.t.ɪ1.s.ʌ0.p.eɪ2.ɾ.ɪ0.ŋ
l.ɪ1.t.ʌ0.g.eɪ2.t.ɚ0.z	l.ɪ1.ɾ.ʌ0.g.eɪ2.ɾ.ɚ0.z
n.u1.z.l.ɛ2.t.ɚ0.z	n.u1.z.l.ɛ2.ɾ.ɚ0.z
k.oʊ0.d.i0.s.p.oʊ1.t.i0	k.oʊ0.d.i0.s.p.oʊ1.ɾ.0
s.ʊ1.t.ɚ0	s.ʊ1.ɾ.0
s.t.æ1.t.ɪ0.k	s.t.æ1.ɾ.ɪ0.k
b.ɛ1.t.ɑ0.ɹ	b.ɛ1.ɾ.ɑ0.ɹ
m.ʌ0.tʃ.ɛ1.t.i2	m.ʌ0.tʃ.ɛ1.ɾ.2
d.oʊ1.t.ʌ0.n	d.oʊ1.ɾ.ʌ0.n
m.u0.f.oʊ0.l.ɛ1.t.oʊ0	m.u0.f.oʊ0.l.ɛ1.ɾ.0
m.oʊ1.t.ɚ0.ʌ0.n	m.oʊ1.ɾ.ɚ0.ʌ0.n
oʊ1.v.ɚ0.ʃ.u2.t.ɪ0.ŋ	o.v.ɚ0.ʃ.u2.ɾ.ɪ0.ŋ
s.ɪ1.t.ʌ0.d.ɛ2.l	s.ɪ1.ɾ.ʌ0.d.ɛ2.l
s.ɛ1.t.ʌ0.l.z	s.ɛ1.ɾ.ʌ0.l.z
ʌ0.s.i1.t.ɪ0.k	ʌ.s.i1.ɾ.ɪ0.k
p.ɪ1.t.ɪ0.f.l.i0	p.ɪ1.ɾ.ɪ0.f.l.0
b.ɹ.aɪ1.t.ʌ0.n.z	b.ɹ.aɪ1.ɾ.ʌ0.n.z
ʌ0.k.w.ɪ1.t.ɪ0.d	ʌ.k.w.ɪ1.ɾ.ɪ0.d
ɔ1.t.oʊ0.b.ɑ2.n	ɔ.ɾ.oʊ0.b.ɑ2.n
ɹ.ɪ0.s.ɪ1.p.ɹ.ʌ0.k.eɪ2.t.ɪ0.ŋ	ɹ.ɪ0.s.ɪ1.p.ɹ.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
k.æ1.t.ʌ0.l.ɑ2.n.z	k.æ1.ɾ.ʌ0.l.ɑ2.n.z
ɪ2.m.oʊ1.t.ʌ0.l	ɪ.m.oʊ1.ɾ.ʌ0.l
m.æ2.s.ɛ0.ɹ.ɑ1.t.i0	m.æ2.s.ɛ0.ɹ.ɑ1.ɾ.0
æ1.t.ɑ2.ɹ.d	æ.ɾ.ɑ2.ɹ.d
n.oʊ1.t.ɪ0.k	n.oʊ1.ɾ.ɪ0.k
m.æ2.θ.ʌ0.m.æ1.t.ɪ0.k.ʌ0.l.i0	m.æ2.θ.ʌ0.m.æ1.ɾ.ɪ0.k.ʌ0.l.0
s.k.eɪ1.t.ɪ0.ŋ	s.k.eɪ1.ɾ.ɪ0.ŋ
d.aʊ1.t.ɪ0.d	d.aʊ1.ɾ.ɪ0.d
d.ɚ1.t.i0.ʌ0.s.t	d.ɚ1.ɾ.i0.ʌ0.s.t
s.u0.m.i1.t.ʌ0	s.u0.m.i1.ɾ.0
ʌ2.n.d.eɪ1.t.ɪ0.d	ʌ.n.d.eɪ1.ɾ.ɪ0.d
ɪ0.l.eɪ1.t.ʌ0.d	ɪ.l.eɪ1.ɾ.ʌ0.d
h.ɛ1.z.ɪ0.t.eɪ2.t.ɪ0.d	h.ɛ1.z.ɪ0.t.eɪ2.ɾ.ɪ0.d
u2.b.u1.t.u2	u.b.u1.ɾ.2
f.ɹ.æ1.t.ɚ0.n.aɪ2.z	f.ɹ.æ1.ɾ.ɚ0.n.aɪ2.z
l.ɔ1.t.ʌ0.n	l.ɔ1.ɾ.ʌ0.n
ʌ1.n.d.ɚ0.j.u2.t.ʌ0.l.aɪ2.z.d	ʌ.n.d.ɚ0.j.u2.ɾ.ʌ0.l.aɪ2.z.d
æ1.dʒ.ʌ0.t.eɪ2.t.ɪ0.ŋ	æ.dʒ.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
n.ɪ1.t.ɪ0.d	n.ɪ1.ɾ.ɪ0.d
b.ɛ1.t.ʌ0	b.ɛ1.ɾ.0
ʌ1.n.d.ɚ0.ɹ.aɪ2.t.ɪ0.ŋ.z	ʌ.n.d.ɚ0.ɹ.aɪ2.ɾ.ɪ0.ŋ.z
ɹ.i0.f.ɔ1.ɹ.m.j.ʌ0.l.eɪ2.t.ɪ0.d	ɹ.i0.f.ɔ1.ɹ.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.d
f.ɹ.æ1.t.ɚ0.n.aɪ2.z.ɪ0.ŋ	f.ɹ.æ1.ɾ.ɚ0.n.aɪ2.z.ɪ0.ŋ
f.ʌ0.m.ɪ2.g.l.i0.ɛ1.t.i0	f.ʌ0.m.ɪ2.g.l.i0.ɛ1.ɾ.0
b.ɚ0.ɛ1.t.ʌ0	b.ɚ0.ɛ1.ɾ.0
f.oʊ1.t.ɑ2.n	f.oʊ1.ɾ.ɑ2.n
h.æ1.n.d.ɹ.ɪ2.t.ʌ0.n	h.æ1.n.d.ɹ.ɪ2.ɾ.ʌ0.n
θ.ɹ.oʊ1.t.i0	θ.ɹ.oʊ1.ɾ.0
ɪ0.n.t.aɪ1.t.ʌ0.l	ɪ.n.t.aɪ1.ɾ.ʌ0.l
s.ɛ1.t.ʌ0.l.ɚ0.z	s.ɛ1.ɾ.ʌ0.l.ɚ0.z
z.l.ɑ1.t.ʌ0	z.l.ɑ1.ɾ.0
æ2.s.t.ɹ.ʌ0.n.ɑ1.t.ɪ0.k	æ.s.t.ɹ.ʌ0.n.ɑ1.ɾ.ɪ0.k
d.ɪ0.p.l.i1.t.ɪ0.ŋ	d.ɪ0.p.l.i1.ɾ.ɪ0.ŋ
b.æ1.t.ʌ0.l.m.ʌ0.n.t.s	b.æ1.ɾ.ʌ0.l.m.ʌ0.n.t.s
d.i2.d.i2.t.i1	d.i2.d.i2.ɾ.1
m.ʌ0.n.ɪ1.p.j.ʌ0.l.eɪ2.t.ɚ0.z	m.ʌ0.n.ɪ1.p.j.ʌ0.l.eɪ2.ɾ.ɚ0.z
p.ʌ0.l.ɪ2.t.ʌ0.s.ʌ0.z.eɪ1.ʃ.ʌ0.n	p.ʌ0.l.ɪ2.ɾ.ʌ0.s.ʌ0.z.eɪ1.ʃ.ʌ0.n
b.ɑ1.t.ʌ0.n	b.ɑ1.ɾ.ʌ0.n
ʌ0.l.ɑ1.t.ɪ0.d	ʌ.l.ɑ1.ɾ.ɪ0.d
k.æ1.t.ʌ0.l.ɔ2.g.ɚ0.z	k.æ1.ɾ.ʌ0.l.ɔ2.g.ɚ0.z
ɹ.oʊ1.t.oʊ0.t.ɪ2.l.d	ɹ.oʊ1.ɾ.oʊ0.t.ɪ2.l.d
l.ɪ1.k.w.ɪ0.d.eɪ2.t.ɪ0.ŋ	l.ɪ1.k.w.ɪ0.d.eɪ2.ɾ.ɪ0.ŋ
k.ɑ0.s.tʃ.ɑ1.t.oʊ0	k.ɑ0.s.tʃ.ɑ1.ɾ.0
d.ɛ1.t.ɪ0.m.p.ʌ0.l	d.ɛ1.ɾ.ɪ0.m.p.ʌ0.l
m.u1.n.l.aɪ2.t.ɪ0.ŋ	m.u1.n.l.aɪ2.ɾ.ɪ0.ŋ
ɪ2.n.ɪ1.ʃ.i0.eɪ2.t.ɪ0.d	ɪ.n.ɪ1.ʃ.i0.eɪ2.ɾ.ɪ0.d
k.ɔ0.ɹ.ɛ1.t.ʌ0	k.ɔ0.ɹ.ɛ1.ɾ.0
b.u2.t.ʌ0.l.eɪ1.z.i0	b.u2.ɾ.ʌ0.l.eɪ1.z.0
ɛ2.n.l.aɪ1.t.ʌ0.n.m.ʌ0.n.t	ɛ.n.l.aɪ1.ɾ.ʌ0.n.m.ʌ0.n.t
ɑ0.ɹ.v.ʌ0.n.aɪ1.t.ɪ0.s	ɑ.ɹ.v.ʌ0.n.aɪ1.ɾ.ɪ0.s
p.oʊ1.t.ʌ0.ŋ.k	p.oʊ1.ɾ.ʌ0.ŋ.k
b.aɪ1.w.ɔ2.t.ɚ0	b.aɪ1.w.ɔ2.ɾ.0
s.ɛ1.t.ɪ0.ŋ	s.ɛ1.ɾ.ɪ0.ŋ
ɹ.æ2.t.ʌ0.t.u1.j	ɹ.æ2.ɾ.ʌ0.t.u1.j
d.ɪ0.n.ɑ1.m.ʌ0.n.eɪ2.t.ɚ0	d.ɪ0.n.ɑ1.m.ʌ0.n.eɪ2.ɾ.0
ʌ1.p.d.eɪ2.t.ʌ0.d	ʌ.p.d.eɪ2.ɾ.ʌ0.d
p.ʌ0.l.ɪ1.t.ʌ0.k.ʌ0.l	p.ʌ0.l.ɪ1.ɾ.ʌ0.k.ʌ0.l
k.æ2.t.ʌ0.s.t.ɹ.ɑ1.f.ɪ0.k	k.æ2.ɾ.ʌ0.s.t.ɹ.ɑ1.f.ɪ0.k
b.ʌ1.t.ɚ0.b.ɔ2.l	b.ʌ1.ɾ.ɚ0.b.ɔ2.l
s.p.ɑ1.t.i0	s.p.ɑ1.ɾ.0
ɛ1.m.ʌ0.n.eɪ2.t.ɪ0.ŋ	ɛ.m.ʌ0.n.eɪ2.ɾ.ɪ0.ŋ
ɛ0.n.t.aɪ1.t.ʌ0.l	ɛ.n.t.aɪ1.ɾ.ʌ0.l
p.ɹ.oʊ1.t.ɛ2.s.t.ɪ0.ŋ	p.ɹ.oʊ1.ɾ.ɛ2.s.t.ɪ0.ŋ
w.ɔ1.t.ɚ0.k.ɹ.ɛ2.s	w.ɔ1.ɾ.ɚ0.k.ɹ.ɛ2.s
b.ɪ0.ɹ.eɪ1.t.ɪ0.ŋ	b.ɪ0.ɹ.eɪ1.ɾ.ɪ0.ŋ
n.oʊ1.t.ɪ0.s.ɪ0.ŋ	n.oʊ1.ɾ.ɪ0.s.ɪ0.ŋ
f.ʌ0.n.ɛ1.t.ɪ0.k	f.ʌ0.n.ɛ1.ɾ.ɪ0.k
p.aɪ2.p.ɛ1.t.ɚ0	p.aɪ2.p.ɛ1.ɾ.0
p.ɹ.i0.d.eɪ1.t.ɪ0.d	p.ɹ.i0.d.eɪ1.ɾ.ɪ0.d
p.i1.t.ɚ0.m.ʌ0.n	p.i1.ɾ.ɚ0.m.ʌ0.n
ɹ.i1.t.eɪ2.l.ɚ0.z	ɹ.i1.ɾ.eɪ2.l.ɚ0.z
h.u1.t.oʊ0	h.u1.ɾ.0
l.ɛ1.t.ʊ0.ɹ.n.oʊ0	l.ɛ1.ɾ.ʊ0.ɹ.n.0
ɹ.eɪ1.d.i0.eɪ2.t.ɚ0.z	ɹ.eɪ1.d.i0.eɪ2.ɾ.ɚ0.z
ʃ.u1.t.ɚ0.z	ʃ.u1.ɾ.ɚ0.z
ɹ.ɛ1.l.ʌ0.g.eɪ2.t.ɪ0.d	ɹ.ɛ1.l.ʌ0.g.eɪ2.ɾ.ɪ0.d
g.ɪ0.l.b.ɚ1.t.oʊ0	g.ɪ0.l.b.ɚ1.ɾ.0
h.ɔ1.t.ɪ0.l.i0	h.ɔ1.ɾ.ɪ0.l.0
ɹ.i0.t.ɹ.i1.t.ʌ0.d	ɹ.i0.t.ɹ.i1.ɾ.ʌ0.d
s.eɪ1.n.t.p.i1.t.ɚ0.z.b.ɚ0.g	s.eɪ1.n.t.p.i1.ɾ.ɚ0.z.b.ɚ0.g
l.ɑ0.m.oʊ1.t.ʌ0	l.ɑ0.m.oʊ1.ɾ.0
f.ʌ0.s.ɪ1.l.ʌ0.t.eɪ2.t.ɪ0.ŋ	f.ʌ0.s.ɪ1.l.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
ɹ.oʊ2.b.ɑ1.t.ɪ0.k	ɹ.oʊ2.b.ɑ1.ɾ.ɪ0.k
k.ɑ1.n.s.t.ʌ0.t.u2.t.ʌ0.d	k.ɑ1.n.s.t.ʌ0.t.u2.ɾ.ʌ0.d
s.aɪ1.t.ɪ0.d	s.aɪ1.ɾ.ɪ0.d
m.ɚ1.t.ʌ0.l.z	m.ɚ1.ɾ.ʌ0.l.z
ɪ0.g.z.æ1.dʒ.ɚ0.eɪ2.t.ɪ0.d	ɪ.g.z.æ1.dʒ.ɚ0.eɪ2.ɾ.ɪ0.d
ɪ2.n.v.ɛ1.s.t.ʌ0.g.eɪ2.t.ɪ0.d	ɪ.n.v.ɛ1.s.t.ʌ0.g.eɪ2.ɾ.ɪ0.d
b.ɑ1.t.ʌ0.m	b.ɑ1.ɾ.ʌ0.m
b.ʌ1.t.ʌ0.n.h.oʊ2.l.d	b.ʌ1.ɾ.ʌ0.n.h.oʊ2.l.d
k.ʌ0.m.p.j.u1.t.ɚ0.k.ɹ.æ2.f.t	k.ʌ0.m.p.j.u1.ɾ.ɚ0.k.ɹ.æ2.f.t
m.i1.d.i0.eɪ2.t.ɪ0.d	m.i1.d.i0.eɪ2.ɾ.ɪ0.d
l.ɪ1.b.ɚ2.eɪ2.t.ʌ0.ɹ.z	l.ɪ1.b.ɚ2.eɪ2.ɾ.ʌ0.ɹ.z
ɹ.i0.ɹ.u1.t.ɪ0.ŋ	ɹ.i0.ɹ.u1.ɾ.ɪ0.ŋ
ɑ1.t.ɚ0.l.u2	ɑ.ɾ.ɚ0.l.2
s.t.ʌ0.l.ɛ1.t.oʊ0.z	s.t.ʌ0.l.ɛ1.ɾ.oʊ0.z
b.ɪ1.t.ɪ0.ŋ	b.ɪ1.ɾ.ɪ0.ŋ
ɔ2.t.ʌ0.b.ɑ1.t	ɔ.ɾ.ʌ0.b.ɑ1.t
p.æ1.t.ʌ0.n.t.l.i0	p.æ1.ɾ.ʌ0.n.t.l.0
ɹ.æ1.t.ʌ0.f.aɪ2	ɹ.æ1.ɾ.ʌ0.f.2
b.ʌ1.t.ɚ0.i0	b.ʌ1.ɾ.ɚ0.0
f.æ1.t.ɪ0.m.ʌ0	f.æ1.ɾ.ɪ0.m.0
f.oʊ1.t.ʌ0.t.ɹ.ɑ0.n	f.oʊ1.ɾ.ʌ0.t.ɹ.ɑ0.n
d.ʌ0.b.ɪ1.l.ʌ0.t.eɪ2.t.ɪ0.ŋ	d.ʌ0.b.ɪ1.l.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
g.ɹ.æ1.t.ʌ0.s	g.ɹ.æ1.ɾ.ʌ0.s
s.p.ɑ1.t.ʌ0.d	s.p.ɑ1.ɾ.ʌ0.d
p.ɹ.i1.t.ɚ0.m	p.ɹ.i1.ɾ.ɚ0.m
l.ɪ1.t.ɪ0.g.ʌ0.n.t.s	l.ɪ1.ɾ.ɪ0.g.ʌ0.n.t.s
j.ɛ1.t.i0	j.ɛ1.ɾ.0
ʌ0.p.ɪ1.n.j.ʌ0.n.eɪ2.t.ɪ0.d	ʌ.p.ɪ1.n.j.ʌ0.n.eɪ2.ɾ.ɪ0.d
n.ɑ2.n.p.ʌ0.l.ɪ1.t.ɪ0.k.ʌ0.l	n.ɑ2.n.p.ʌ0.l.ɪ1.ɾ.ɪ0.k.ʌ0.l
l.oʊ0.s.i1.t.oʊ0	l.oʊ0.s.i1.ɾ.0
oʊ2.v.ɚ0.ɛ0.k.s.aɪ1.t.ɪ0.d	o.v.ɚ0.ɛ0.k.s.aɪ1.ɾ.ɪ0.d
ɑ1.t.oʊ0.s.ʌ0.n	ɑ.ɾ.oʊ0.s.ʌ0.n
ɹ.i2.n.ɪ0.g.oʊ1.ʃ.i0.eɪ2.t.ɪ0.d	ɹ.i2.n.ɪ0.g.oʊ1.ʃ.i0.eɪ2.ɾ.ɪ0.d
ʃ.ɔ1.ɹ.t.s.aɪ1.t.ɪ0.d	ʃ.ɔ1.ɹ.t.s.aɪ1.ɾ.ɪ0.d
b.ɛ1.t.ɪ0.ŋ.ɚ0	b.ɛ1.ɾ.ɪ0.ŋ.0
d.ɔ1.t.ɚ0.z.ɪ0.n.l.ɔ2	d.ɔ1.ɾ.ɚ0.z.ɪ0.n.l.2
j.u1.t.ʌ0.n	j.u1.ɾ.ʌ0.n
p.ɛ0.t.i1.t.oʊ0	p.ɛ0.t.i1.ɾ.0
n.i1.t.oʊ0	n.i1.ɾ.0
ʌ0.n.s.ɚ1.t.ʌ0.n.t.i0.z	ʌ.n.s.ɚ1.ɾ.ʌ0.n.t.i0.z
i0.v.æ1.k.j.ʌ0.w.eɪ2.t.ɪ0.ŋ	i.v.æ1.k.j.ʌ0.w.eɪ2.ɾ.ɪ0.ŋ
d.aɪ2.ʌ0.n.ɛ1.t.ɪ0.k.s	d.aɪ2.ʌ0.n.ɛ1.ɾ.ɪ0.k.s
n.ɛ1.t.i0	n.ɛ1.ɾ.0
k.ʌ1.l.m.ʌ0.n.eɪ2.t.ɪ0.d	k.ʌ1.l.m.ʌ0.n.eɪ2.ɾ.ɪ0.d
k.w.ɪ1.t.ɪ0.ŋ	k.w.ɪ1.ɾ.ɪ0.ŋ
v.aɪ2.æ1.t.ɪ0.k.ʌ0.l	v.aɪ2.æ1.ɾ.ɪ0.k.ʌ0.l
s.m.æ1.t.ɚ0	s.m.æ1.ɾ.0
m.ɛ1.d.ɪ0.k.eɪ2.t.ɪ0.ŋ	m.ɛ1.d.ɪ0.k.eɪ2.ɾ.ɪ0.ŋ
b.oʊ1.ɔ1.t.ɚ0	b.oʊ1.ɔ1.ɾ.0
ɹ.i1.æ1.k.t.ʌ0.v.eɪ2.t.ɪ0.d	ɹ.i1.æ1.k.t.ʌ0.v.eɪ2.ɾ.ɪ0.d
ʌ0.n.d.ɪ2.p.l.ʌ0.m.æ1.t.ɪ0.k.l.i0	ʌ.n.d.ɪ2.p.l.ʌ0.m.æ1.ɾ.ɪ0.k.l.0
